"Simulation","Demand","OrderQuantity","NumberOfOrders","TotalCost"
1,13889.1881752941,651.453635049327,21.3203019033618,9380.93259109475
2,14473.7104638119,665.020473997737,21.7643080622826,9576.29518648588
3,15633.3346015015,691.147768892582,22.619380840295,9952.52772089148
4,14340.5742864087,661.954819853369,21.663977444239,9532.14974067683
5,14272.6147603343,660.38446661855,21.6125840049149,9509.53664073484
6,14557.5838838802,666.944546544607,21.8272777838907,9604.00184757713
7,14387.9974842941,663.048433204942,21.6997684690205,9547.8977822601
8,14723.0726882689,670.724753765807,21.9509904854498,9658.43613391278
9,15103.9577748117,679.345158503801,22.233113146897,9782.5700335447
10,15577.4757981767,689.911909327853,22.5789344807123,9934.73133291724
11,14717.7535620315,670.603583755719,21.9470249168737,9656.69128475338
12,13962.1707709265,653.162966671168,21.3762437299292,9405.54698061684
13,14392.4736603053,663.151563923573,21.7031436601785,9549.38286548899
14,14308.2629411952,661.20866074254,21.6395576626704,9521.40504313376
15,15010.1365916194,677.231930419588,22.1639528755232,9752.13953163615
16,14769.1270417113,671.772960832138,21.9852954834867,9673.53032435847
17,15508.8682664123,688.390951825864,22.5291576324138,9912.82953227726
18,15040.1680446617,677.909075620881,22.1861140166722,9761.89042813822
19,13555.1454943445,643.572050990678,21.0623588663904,9267.43771773876
20,14642.5060138454,668.88708849399,21.890848643548,9631.97373873729
21,15260.6496814095,682.85990510742,22.3481413497383,9833.18241371585
22,14890.5736373395,674.529300389327,22.0755030637586,9713.22163683005
23,15102.8154189612,679.31946761835,22.2322723532577,9782.20008456882
24,14404.4089040517,663.426472571707,21.7121406811134,9553.34155236125
25,13287.6674813446,637.190741191136,20.8535162587347,9175.54691349782
26,15201.8881472855,681.543952855042,22.3050737719902,9814.23269039414
27,14627.4685793032,668.543485878106,21.8796067694693,9627.02658760561
28,13527.0959130458,642.905834192412,21.0405555426915,9257.84422557749
29,14267.4951291061,660.26601508202,21.6087074045963,9507.83093760173
30,15174.9722673534,680.940328121587,22.2853187579806,9805.54048923115
31,14399.8284235566,663.320982232845,21.70868826595,9551.82249058548
32,15212.0215736305,681.771070062566,22.3125067073241,9817.50318006178
33,13378.7156785941,639.37005698113,20.9248392734615,9206.92905042567
34,14932.0921852222,675.469021264536,22.1062576004863,9726.75362521165
35,14874.6504581995,674.16855144986,22.0636967212579,9708.02684911574
36,13934.0375320356,652.504586042733,21.3546967026574,9396.0662940923
37,16430.4245966561,708.548339612512,23.1888548431875,10203.0961107113
38,16185.4449182744,703.246225776708,23.0153313661915,10126.7457261544
39,15146.8542440903,680.309171710095,22.2646627062452,9796.45183168662
40,15171.8832188367,680.871017829985,22.2830504185525,9804.54242045744
41,14745.9844100564,671.246434123247,21.9680636803932,9665.94833537389
42,15669.0772773406,691.937406960399,22.6452235703993,9963.89851560271
43,14870.4357548186,674.073032564652,22.0605706450545,9706.65137637748
44,15954.8976546008,698.219696917111,22.8508272182057,10054.3638058084
45,15389.5836172895,685.738503995192,22.4423501489678,9874.63426153831
46,15824.5278666579,695.361238211133,22.7572763580663,10013.2017138947
47,15224.9787298322,682.061364440491,22.3220072615043,9821.68342150248
48,14487.0654538039,665.327212518565,21.7743467893997,9580.7122238016
49,13690.5819227304,646.779187820877,21.1673198218647,9313.62051312054
50,14386.976805706,663.024914610295,21.6989987686393,9547.55911429476
51,15620.7233749413,690.868942439466,22.6102556004101,9948.51261765437
52,15297.6092228201,683.686308696856,22.3751873165022,9845.08263224784
53,15148.7922741759,680.352692848553,22.2660870360485,9797.07853644026
54,15590.6784647152,690.204214140328,22.5885008310677,9938.94052464526
55,14456.4133252957,664.62298146559,21.7512992003636,9570.57129063223
56,14794.1212710585,672.34115079611,22.0038908127831,9681.71226454427
57,15189.8304031981,681.273607889806,22.2962261084023,9810.3397206551
58,16052.870635365,700.360170539373,22.9208788715128,10085.1865796163
59,14755.8405724517,671.470725852321,21.9754041454623,9669.17813813842
60,14253.7823397475,659.948641210917,21.5983206111216,9503.26075116536
61,14795.4497085294,672.371336521801,22.0048787104262,9682.14693925073
62,15515.9064063992,688.547134706569,22.5342690780515,9915.07856705862
63,14259.0930533187,660.071572436099,21.6023438196153,9505.03096185529
64,14718.31550037,670.616385778364,21.9474438926614,9656.87563398974
65,13855.0750662661,650.653128973578,21.2941034927824,9369.40529702188
66,14723.2753615357,670.729370242426,21.9511415702792,9658.50261120689
67,15009.860691473,677.22570632111,22.1637491775246,9752.0499045674
68,14135.2979901686,657.200012293633,21.5083653769821,9463.68047145023
69,13904.8690396748,651.821276006012,21.3323338030264,9386.22662390909
70,14752.4843351517,671.394358061322,21.9729048330851,9668.07844132023
71,13390.790820689,639.65852808583,20.9342801396877,9211.08303294926
72,15274.2176491519,683.163396682165,22.358073812696,9837.5526949047
73,16520.164490292,710.480684410013,23.2520951699207,10230.9218651346
74,15094.213394007,679.125982110278,22.2259400930356,9779.41389166182
75,15776.1782877993,694.298137828034,22.7224839420595,9997.89305961493
76,15230.1082215209,682.176252330723,22.3257672331537,9823.33780807503
77,15263.8427391491,682.931340328099,22.3504792323865,9834.21108148734
78,16269.1960351705,705.063343436623,23.0748005645437,10152.9121969433
79,13295.582983991,637.380501205308,20.8597265822356,9178.27945677006
80,13482.3823055457,641.842396633235,21.0057521539043,9242.53072961823
81,14758.4411323548,671.529892994785,21.9773405269233,9670.03014548559
82,14888.8916594863,674.49120331089,22.0742562488597,9712.67303858754
83,16166.5136743458,702.834830386893,23.0018675446783,10120.8216386149
84,14474.8613117064,665.04691233832,21.7651733180935,9576.67589881646
85,14976.7626300147,676.478623608361,22.1392991697625,9741.29190732795
86,14439.4908645165,664.233868924822,21.7385645930541,9564.96806673063
87,16401.2630982528,707.919277421942,23.1682673736219,10194.0376196348
88,15481.1875142042,687.776346107978,22.5090432403061,9903.97920484477
89,14442.8354978608,664.310792997212,21.7410821111278,9566.07577402805
90,13110.7870471928,632.935509386791,20.7142542214055,9114.27159629411
91,15289.3403722017,683.501506592887,22.3691392406959,9842.42148042189
92,14707.7863090493,670.37647017126,21.9395921000806,9653.4208472508
93,15075.2919118262,678.70018674985,22.2120049561479,9773.28243495146
94,15060.3679271824,678.364159653811,22.2010076930776,9768.44364198452
95,16041.7213259006,700.116914998809,22.9129178030614,10081.6837046649
96,16147.1496715475,702.413781406135,22.9880877895407,10114.7585398231
97,15437.0884787553,686.796063244247,22.4769612187853,9889.86312349133
98,14659.5684430189,669.276690819456,21.9035992797985,9637.58401545575
99,14866.0040944889,673.972582129317,22.0572831724429,9705.20488926853
100,14274.7886728304,660.434757424051,21.6142298877599,9510.26082876035
101,14570.5587540358,667.241697049903,21.8370027209887,9608.28081737681
